prompt,precision at k,mean reciprocal rank,average precision,cumulative gain,normalized discounted cumulative gain
Why do stars twinkle,0.0,0.0,0,0,0.0
Who was the first Disney princess,0.0,0.0,0,0,0.0
What is the process by which plants make their own food called,0.6,0.458,0.8,0,0.0
When did the Berlin Wall fall,0.2,0.25,0.4,0,0.0
Where is the Panama Canal located,0.0,0.0,0,0,0.0
Why do we dream,0.0,0.0,0,0,0.0
Who wrote the Harry Potter series,0.0,0.0,0,0,0.0
What is the largest desert in the world,0.0,0.0,0,0,0.0
When was the Magna Carta signed,0.4,0.312,0.6,0,0.0
Where is Mount Everest located,0.0,0.0,0,0,0.0
Why do elephants have trunks,0.0,0.0,0,0,0.0
Can I park my car outside the hospital,0.4,0.312,0.6,0,0.0
What is the largest species of bear,0.0,0.0,0,0,0.0
When was the Statue of Liberty dedicated,0.2,0.083,0.2,0,0.0
Where is the Acropolis located,0.0,0.0,0,0,0.0
Why is the Great Wall of China important,0.0,0.0,0,0,0.0
Who directed the film The Shawshank Redemption,0.2,0.083,0.2,0,0.0
What is the chemical symbol for iron,0.2,0.25,0.4,0,0.0
When was the first computer invented,0.0,0.0,0,0,0.0
Where is the Sahara Desert located,0.0,0.0,0,0,0.0
Why do birds sing,0.0,0.0,0,0,0.0
Who discovered electricity,0.0,0.0,0,0,0.0
What is the square root of 64,0.2,0.125,0.2,0,0.0
When was the first Olympic Games held,0.0,0.0,0,0,0.0
Where is the Dead Sea located,0.0,0.0,0,0,0.0
Why is recycling important,0.0,0.0,0,0,0.0
Who painted The Last Supper,0.0,0.0,0,0,0.0
What is the capital city of Brazil,0.4,0.146,0.4,0,0.0
When did the Cold War end,0.2,0.25,0.2,0,0.0
Where is the Grand Canyon located,0.0,0.0,0,0,0.0
Why do people celebrate Halloween,0.0,0.0,0,0,0.0
Who invented the light bulb,0.2,0.25,0.2,0,0.0
What is the chemical symbol for silver,0.0,0.0,0,0,0.0
When was the Great Fire of London,0.2,0.083,0.4,0,0.0
Where is the Sydney Opera House located,0.0,0.0,0,0,0.0
Why do we have leap years,0.0,0.0,0,0,0.0
Who discovered the structure of DNA,0.2,0.062,0.2,0,0.0
What is the smallest bone in the human body,0.8,0.521,1.0,0,0.0
When did the Industrial Revolution start,0.0,0.0,0,0,0.0
Where is the Vatican City located,0.0,0.0,0,0,0.0
Why do earthquakes happen,0.0,0.0,0,0,0.0
Who directed the movie Avatar,0.0,0.0,0,0,0.0
What is the largest moon in our solar system,0.0,0.0,0,0,0.0
When was the Rosetta Stone discovered,0.0,0.0,0,0,0.0
Where is the Statue of Liberty located,0.0,0.0,0,0,0.0
Why do people wear wedding rings,0.2,0.062,0.2,0,0.0
Who painted American Gothic,0.0,0.0,0,0,0.0
What is the currency of China,0.0,0.0,0,0,0.0
When was the Renaissance,0.0,0.0,0,0,0.0
Where is the Eiffel Tower located,0.0,0.0,0,0,0.0
Why does lightning occur,0.0,0.0,0,0,0.0
Who wrote The Great Gatsby,0.2,0.25,0.2,0,0.0
What is the boiling point of water in Fahrenheit,0.4,0.146,0.6,0,0.0
What is the largest living species of cat,0.4,0.375,0.4,0,0.0
Where is the Amazon Rainforest located,0.0,0.0,0,0,0.0
Why do volcanoes erupt,0.0,0.0,0,0,0.0
Who directed the movie Titanic,0.0,0.0,0,0,0.0
What is the national bird of the United States,0.0,0.0,0,0,0.0
When was the Battle of Hastings,0.0,0.0,0,0,0.0
Why is the Statue of Liberty green,0.0,0.0,0,0,0.0
Who painted The Night Watch,0.2,0.062,0.4,0,0.0
What is the chemical symbol for carbon,0.2,0.25,0.4,0,0.0
When did Christopher Columbus discover America,0.0,0.0,0,0,0.0
Where is the Great Wall of China located,0.4,0.208,0.4,0,0.0
Why is the Amazon Rainforest important,0.0,0.0,0,0,0.0
Who wrote The Canterbury Tales,0.0,0.0,0,0,0.0
